song,artist,label,year,month,weeks,key,verse1,verse2,verse3,verse4,verse_all,chorus1,chorus2,chorus3,chorus4,chorus_all,bridge1,bridge2,bridge3,bridge4,bridge_all
I Like That,Sistar,Starship,2016,June,1,,,,,,,,,,,,,,,,
GOOD,"Loco, GRAY",AOMG,2016,June,1,,,,,,,,,,,,,,,,
Monster,Exo,SM,2016,June,1,,,,,,,,,,,,,,,,
I Don't Love You,Urban Zakapa,MakeUs,2016,June,1,,,,,,,,,,,,,,,,
so-so,Baek A-yeon,JYP,2016,May,1,,,,,,,,,,,,,,,,
Cheer Up,Twice,JYP,2016,April,3,,,,,,,,,,,,,,,,
RE-BYE,Akdong Musician,YG,2016,May,1,,,,,,,,,,,,,,,,
Hopefully Sky,Jung Eun-ji,Plan A,2016,April,1,,,,,,,,,,,,,,,,
How Can I Love You,Junsu,C-JeS,2016,April,1,,,,,,,,,,,,,,,,
What the spring??,10cm,Nega Network,2016,April,1,,,,,,,,,,,,,,,,
Fallen in Love (Only With You),Jang Beom-Jun,CJ,2016,April,1,,,,,,,,,,,,,,,,
Talk Love,K.Will,Starship,2016,March,1,,,,,,,,,,,,,,,,
Once Again,Mad Clown,Starship,2016,March,1,,,,,,,,,,,,,,,,
Breathe,Lee Hi,YG,2016,March,1,,,,,,,,,,,,,,,,
You're the Best,Mamamoo,Rainbow Bridge World,2016,March,1,F,,,,,,,,,,,,,,,
Everytime,"Chen, Punch",SM,2016,February,1,,,,,,,,,,,,,,,,
Rough,GFriend,Source Music,2016,February,2,,,,,,,,,,,,,,,,
Rain,Taeyeon,SM,2016,February,1,,,,,,,,,,,,,,,,
"I Am You, You Are Me",Zico,Seven Seasons,2016,January,1,,,,,,,,,,,,,,,,
Dream,"Suzy, Baekhyun","JYP, SM",2016,January,3,,,,,,,,,,,,,,,,
Lonely Night,Gary,Leessang Company,2016,January,1,,,,,,,,,,,,,,,,
Again,Turbo,Turbo,2015,December,1,,,,,,,,,,,,,,,,
This Is Love,Yoon Mi-rae,Feel Ghood Music,2015,December,1,,,,,,,,,,,,,,,,
Eureka,Zico,Seven Seasons,2015,December,1,,,,,,,,,,,,,,,,
Daddy,Psy,YG,2015,December,1,,,,,,,,,,,,,,,,
A Little Girl,Oh Hyuk,HIGHGRND,2015,November,1,,,,,,,,,,,,,,,,
Apology,iKON,YG,2015,November,1,,,,,,,,,,,,,,,,
Let's Hug,4Men,Happy Face,2015,November,1,,,,,,,,,,,,,,,,
Boys and Girls,Zico,Seven Seasons,2015,November,1,,,,,,,,,,,,,,,,
Twenty-three,IU,LOEN,2015,October,2,,,,,,,,,,,,,,,,
No Make Up,Zion.T,Amoeba Culture,2015,October,1,,,,,,,,,,,,,,,,
I,Taeyeon,SM,2015,October,1,,,,,,,,,,,,,,,,
Love Again,Im Chang-jung,NH EMG,2015,October,1,,,,,,,,,,,,,,,,
Get Some Air,Gary,Leessang Company,2015,September,1,,,,,,,,,,,,,,,,
My Type,iKON,YG,2015,September,1,,,,,,,,,,,,,,,,
Leon,"Park Myeong-soo, IU",Infinite Challenge,2015,August,3,,,,,,,,,,,,,,,,
Oppa's Car,"Incredivle, Tablo, Jinusean",YG,2015,August,1,,,,,,,,,,,,,,,,
Let's Not Fall In Love,Big Bang,YG,2015,August,2,,,,,,,,,,,,,,,,
Wi Ing Wi Ing,Hyukoh,HIGHGRND,2015,August,1,,,,,,,,,,,,,,,,
Yanghwa BRDG,Zion.T,Amoeba Culture,2015,July,1,,,,,,,,,,,,,,,,
