song,artist,year,month,weeks,key,verse1,verse2,verse3,verse4,verse_all,chorus1,chorus2,chorus3,chorus4,chorus_all,bridge1,bridge2,bridge3,bridge4,bridge_all
One Dance,Drake,2016,May,7,Bbm,,,,,,,,,,,,,,,
Can't Stop the Feeling!,Justin Timberlake,2016,May,1,C,I,vi,IV,vi,I-vi-IV-vi,,,,,,,,,,
Panda,Desiigner,2016,May,2,NA,,,,,,,,,,,,,,,
Work,Rihanna,2016,March,9,G#m,,,,,,,,,,,,,,,
Love Yourself,Justin Bieber,2016,February,2,E,,,,,,,,,,,,,,,
Pillowtalk,Zayn,2016,February,1,B,,,,,,,,,,,,,,,
Sorry,Justin Bieber,2016,January,3,Eb,,,,,,,,,,,,,,,
Hello,Adele,2015,November,10,,,,,,,,,,,,,,,,
The Hills,The Weeknd,2015,October,6,,,,,,,,,,,,,,,,
What Do You Mean?,Justin Bieber,2015,September,1,,,,,,,,,,,,,,,,
Can't Feel My Face,The Weeknd,2015,August,3,,,,,,,,,,,,,,,,
Cheerleader,OMI,2015,July,6,,,,,,,,,,,,,,,,
Bad Blood,Taylor Swift,2015,June,1,,,,,,,,,,,,,,,,
See You Again,Wiz Khalifa,2015,April,12,,,,,,,,,,,,,,,,
Uptown Funk,Mark Ronson,2015,January,14,,,,,,,,,,,,,,,,
Blank Space,Taylor Swift,2014,November,7,,,,,,,,,,,,,,,,
All About That Bass,Meghan Trainor,2014,September,8,,,,,,,,,,,,,,,,
Shake It Off,Taylor Swift,2014,September,4,,,,,,,,,,,,,,,,
Rude,Magic!,2014,July,6,Db,,,,,,,,,,,,,,,
Fancy,Iggy Azalea,2014,June,7,,,,,,,,,,,,,,,,
All of Me,John Legend,2014,May,3,,,,,,,,,,,,,,,,
Happy,Pharrell Williams,2014,March,10,,,,,,,,,,,,,,,,
Dark Horse,Katy Perry,2014,February,4,,,,,,,,,,,,,,,,
Timber,Pitbull,2014,January,3,,,,,,,,,,,,,,,,
The Monster,Eminem,2013,December,4,,,,,,,,,,,,,,,,
Royals,Lorde,2013,October,9,,,,,,,,,,,,,,,,
Wrecking Ball,Miley Cyrus,2013,September,3,,,,,,,,,,,,,,,,
Roar,Katy Perry,2013,September,2,,,,,,,,,,,,,,,,
Blurred Lines,Robin Thicke,2013,June,12,,,,,,,,,,,,,,,,
Can't Hold Us,Macklemore and Ryan Lewis,2013,May,5,,,,,,,,,,,,,,,,
Just Give Me a Reason,Pink,2013,April,3,,,,,,,,,,,,,,,,
When I Was Your Man,Bruno Mars,2013,April,1,,,,,,,,,,,,,,,,
Harlem Shake,Baauer,2013,March,5,,,,,,,,,,,,,,,,
Thrift Shop,Macklemore and Ryan Lewis,2013,February,6,,,,,,,,,,,,,,,,
Locked Out of Heaven,Bruno Mars,2012,December,6,,,,,,,,,,,,,,,,
Diamonds,Rihanna,2012,December,3,,,,,,,,,,,,,,,,
One More Night,Maroon 5,2012,September,9,,,,,,,,,,,,,,,,
We Are Never Ever Getting Back Together,Taylor Swift,2012,September,3,,,,,,,,,,,,,,,,
Whistle,Flo Rida,2012,August,2,,,,,,,,,,,,,,,,
Call Me Maybe,Carly Rae Jepsen,2012,June,9,,,,,,,,,,,,,,,,
Somebody That I Used to Know,Gotye,2012,April,8,,,,,,,,,,,,,,,,
We Are Young,Fun,2012,March,6,,,,,,,,,,,,,,,,
Part of Me,Katy Perry,2012,March,1,,,,,,,,,,,,,,,,
Stronger (What Doesn't Kill You),Kelly Clarkson,2012,February,3,,,,,,,,,,,,,,,,
Set Fire to the Rain,Adele,2012,February,2,,,,,,,,,,,,,,,,
Sexy and I Know It,LMFAO,2012,January,2,,,,,,,,,,,,,,,,
We Found Love,Rihanna,2011,November,10,,,,,,,,,,,,,,,,
Someone Like You,Adele,2011,September,5,,,,,,,,,,,,,,,,
Moves Like Jagger,Maroon 5,2011,September,4,,,,,,,,,,,,,,,,
Last Friday Night (T.G.I.F.),Katy Perry,2011,August,2,,,,,,,,,,,,,,,,
Party Rock Anthem,LMFAO,2011,July,6,,,,,,,,,,,,,,,,
Give Me Everything,Pitbull,2011,July,1,,,,,,,,,,,,,,,,
Rolling in the Deep,Adele,2011,May,7,,,,,,,,,,,,,,,,
S&M,Rihanna,2011,April,1,,,,,,,,,,,,,,,,
E.T.,Katy Perry,2011,April,5,,,,,,,,,,,,,,,,
Born This Way,Lady Gaga,2011,February,6,,,,,,,,,,,,,,,,
Black and Yellow,Wiz Khalifa,2011,February,1,,,,,,,,,,,,,,,,
Hold It Against Me,Britney Spears,2011,January,1,,,,,,,,,,,,,,,,
Grenade,Bruno Mars,2011,January,4,,,,,,,,,,,,,,,,
Firework,Katy Perry,2010,December,4,,,,,,,,,,,,,,,,
Raise Your Glass,Pink,2010,December,1,,,,,,,,,,,,,,,,
Only Girl (In the World),Rihanna,2010,December,1,,,,,,,,,,,,,,,,
What's My Name?,Rihanna,2010,November,1,,,,,,,,,,,,,,,,
We R Who We R,Kesha,2010,November,1,,,,,,,,,,,,,,,,
Like a G6,Far East Movement,2010,October,3,,,,,,,,,,,,,,,,
Just the Way You Are,Bruno Mars,2010,October,4,,,,,,,,,,,,,,,,
Teenage Dream,Katy Perry,2010,September,2,,,,,,,,,,,,,,,,
Love the Way You Lie,Eminem,2010,July,7,,,,,,,,,,,,,,,,
California Gurls,Katy Perry,2010,June,6,,,,,,,,,,,,,,,,
Not Afraid,Eminem,2010,May,1,,,,,,,,,,,,,,,,
OMG,Usher,2010,May,4,,,,,,,,,,,,,,,,
Nothin' on You,B.o.B.,2010,May,2,,,,,,,,,,,,,,,,
Rude Boy,Rihanna,2010,March,5,,,,,,,,,,,,,,,,
Break Your Heart,Taio Cruz,2010,March,1,,,,,,,,,,,,,,,,
Imma Be,The Black Eyed Peas,2010,March,2,,,,,,,,,,,,,,,,
Tik Tok,Kesha,2010,January,9,,,,,,,,,,,,,,,,
